query1,0.159,0.127,0.129
query2,0.274,0.223,0.247
query3,4.074,4.105,3.981
query4,8.18,8.723,7.979
query5,5.267,6.215,5.705
query6,12.648,2.652,2.51
query7,0.642,0.473,0.369
query8,2.23,0.531,0.479
query9,50.645,49.47,51.468
query10,50.486,54.475,53.354
query11,5.026,1.29,1.306
query12,2.402,1.287,1.246
query13,9.843,7.846,7.104
query14,null,null,null
query15,9.71,9.654,9.955
query16,41.436,33.122,32.132
query17,94.11,26.508,26.555
query18,26.102,25.926,25.125
query19,null,null,null
query20,0.214,0.089,0.204
query21,53.794,1.862,0.926
query22,8.924,0.52,1.078
query23,null,null,null
query24,12.397,2.716,11.225
query25,57.373,0.983,1.78
query26,9.676,0.768,0.306
query27,4.154,0.637,0.345
query28,65.191,11.526,11.513
query29,null,null,null
query30,85.791,84.722,84.544
query31,17.672,10.448,10.319
query32,35.485,11.784,11.512
query33,66.062,11.732,10.784
query34,null,null,null
query35,null,null,null
query36,76.96,23.158,51.569
query37,4.318,0.374,0.308
query38,3.271,0.161,0.156
query39,2.3,0.078,0.06
query40,9.245,0.997,0.904
query41,25.025,9.34,9.176
query42,9.481,2.111,0.064
query43,0.84,0.494,0.499
