query1,0.29,0.10,0.10
query2,2.60,0.68,0.51
query3,5.28,3.79,3.74
query4,18.26,7.60,7.57
query5,5.75,5.43,5.02
query6,9.99,2.44,2.46
query7,0.03,0.01,0.01
query8,3.11,0.34,0.27
query9,48.62,47.10,41.97
query10,47.03,49.28,47.59
query11,5.57,1.39,1.19
query12,53.48,1.66,1.29
query13,7.50,6.59,6.54
query14,null,null,null
query15,10.20,8.53,9.46
query16,30.61,29.87,29.64
query17,79.47,26.69,24.00
query18,14.45,24.28,25.24
query19,null,null,null
query20,1.30,0.07,0.04
query21,46.85,2.16,1.31
query22,148.54,1.74,1.97
query23,null,null,null
query24,32.32,1.71,1.21
query25,26.80,0.38,0.38
query26,63.89,0.26,0.32
query27,37.64,0.46,0.35
query28,69.51,11.64,11.88
query29,null,null,null
query30,90.75,93.85,90.50
query31,15.64,9.60,9.76
query32,34.27,9.96,9.78
query33,9.37,9.03,9.89
query34,null,null,null
query35,null,null,null
query36,79.62,21.91,null
query37,null,null,null
query38,7.34,0.22,0.19
query39,4.20,0.27,0.08
query40,9.30,0.90,1.18
query41,28.48,8.72,8.72
query42,0.48,0.06,0.13
query43,0.70,0.44,0.45
